param_id,name,symbol,units,value,uncertainty_type,uncertainty_value,subsystem,source_tier,citation,doi,extraction_method,species,sex,entered_by,date_entered,notes
RN.AUTOREG.UPPER,Upper limit of renal autoregulation,MAP_hi,mmHg,160.0,none,,renal,A,"Roman RJ, Cowley AW Jr. Characterization of a new model for the study of pressure-natriuresis in the rat. Am J Physiol 1985;248:F190-F198. PMID 3970209. Highest renal perfusion pressure at which GFR was measured and found unchanged.",10.1152/ajprenal.1985.248.2.F190,reported,rat,both,claude-session4,2026-08-21,"EVIDENCE UNDER AN ETHICAL CEILING, NOT DEBT (ADR 0006 amended 2026-08-21). The rat provenance of this value is not a deficiency to be burned down. No human study raises arterial pressure to locate the failure of GFR autoregulation and none may; the human literature only ever lowers it. Where the human experiment cannot ethically exist, a well-conducted animal study is the evidence, not a substitute for it. This row is E2 with species, preparation and tested range recorded. WHAT REMAINS A REAL LIMITATION IS THE CENSORING, NOT THE SPECIES: 160 mmHg was the highest RPP tested in that preparation, so the true breakpoint is >= 160 and is not known to BE 160. UPPER BREAKPOINT MOVED 180 -> 160 mmHg ON 2026-08-21. The previous value was NOT SOURCED: citation read 'Standard physiological reference. VERIFY.' and species read 'human', neither of which was true. POOLING RULE, DECLARED BEFORE EXTRACTION per validation/pooling.md, pre-registration in validation/autoreg_upper_prereg.md: single-source, n_studies k=1. The pre-registration fixed, before any paper was read, that if zero HUMAN primary studies reported an upper breakpoint then the value could not be retained by cross-species pooling or by range-midpoint (both prohibited) and had to be brought inside the range where the model's own relations have support. SEARCH RESULT - THERE IS NO HUMAN PRIMARY EVIDENCE FOR AN UPPER BREAKPOINT. PubMed yields no human study that RAISES arterial pressure and measures the pressure at which GFR autoregulation fails; for obvious reasons the human literature only ever probes the LOWER limb by LOWERING pressure - Parving HH et al, Diabetologia 1984;27:547-552 (clonidine, MAP fall 16-18 mmHg, PMID 6442240), New JP et al, Diabetologia 1998;41:206-211 (trandolapril, MAP 103->93, PMID 9498655), Christensen PK et al, Kidney Int 2001 (PMID 11576357) and Diabetes Care 2003 (PMID 12502673). None of these reaches 160 mmHg, let alone 180. WHERE 180 ACTUALLY CAME FROM: Shipley RE, Study RS, Am J Physiol 1951;167:676-688, doi 10.1152/ajplegacy.1951.167.3.676, PMID 14903093 - DOG, acute alterations of renal artery pressure. That is the primary origin of the textbook '80-180 mmHg' and it is canine. (The PubMed MeSH record for PMID 14903093 carries the term 'Humans'; that is a known legacy-indexing artefact of the AJP back-catalogue, contradicted by the paper and by every secondary source that cites it as the canine range. Recorded here because the MeSH tag would otherwise look like human support.) 180 therefore entered this ledger as a dog number wearing a human label. WHAT IS ADOPTED: Roman RJ, Cowley AW Jr, Am J Physiol 1985;248:F190-F198, doi 10.1152/ajprenal.1985.248.2.F190, PMID 3970209. RAT, denervated kidney, vasopressin, aldosterone, corticosterone and noradrenaline clamped by infusion, RPP set by aortic clamp. Verbatim: 'Increasing RPP within the autoregulatory range from 90 to 160 mmHg produced 5- to 20-fold increases in urine flow and sodium excretion with no detectable changes in glomerular filtration rate, renal blood flow, or peritubular capillary pressure.' That is a direct primary measurement that GFR autoregulation is INTACT at 160 mmHg. THIS IS A CENSORED OBSERVATION, NOT A MEASURED BREAKPOINT. 160 mmHg is the highest RPP Roman and Cowley tested, so the true upper limit is >= 160; it is not known to BE 160. uncertainty_type is 'none' rather than a range because inventing a 160-180 interval would smuggle back the range-midpoint reasoning pooling.md prohibits. The model breakpoint is set at the edge of evidence, which is the conservative direction: it makes GFR fall with pressure slightly earlier than reality, rather than asserting a flat plateau in a region nothing has measured. WHY 160 AND NOT SOMETHING ELSE - THE TWO CONSTRAINTS COINCIDE. Roman and Cowley 1985 is ALSO the form source for the model's pressure natriuresis (see RN.PRESSURE_NATRIURESIS.SLOPE and ledger/relations.csv row Renal.FR_effective), where the LINEAR form is evidenced over roughly 55-160 mmHg. At 180 the autoregulation breakpoint sat OUTSIDE the range over which the equation it modifies has any support, so the model contained a kink in a region where its own natriuresis term was unevidenced. Setting the breakpoint to 160 makes the autoregulatory plateau and the natriuresis validity range terminate together, at the same pressure, from the SAME primary paper. That is not a coincidence chosen after the fact - the <=160 ceiling was written into the pre-registration before extraction. CROSS-SPECIES POOLING NOT PERFORMED, as prohibited. The dog value (Shipley 1951) and the rat value (Roman 1985) are NOT averaged. One rat study is adopted; the dog study is recorded as provenance archaeology for the discarded 180, not as a co-estimate. CORROBORATION, RECORDED AS CONTEXT AND NOT POOLED: Cupples WA, Braam B, Am J Physiol Renal Physiol 2007;292:F1105-F1123, doi 10.1152/ajprenal.00194.2006, describe the plateau as spanning from ~75 mmHg (dogs) or ~85 mmHg (rats) to >160 mmHg - note '>160', an open upper bound, not a fixed 180. Carlstrom M, Wilcox CS, Arendshorst WJ, Physiol Rev 2015;95:405-511, doi 10.1152/physrev.00042.2012, quote the conventional 80-180 mmHg. Both are reviews (tier B) and neither adds human primary data on the upper limit. SPECIES CHANGED human -> rat. TIER CHANGED B -> A: per SOURCES.md, tier A includes 'peer-reviewed primary research in animal models, flagged as such with species noted'. The tier RISES because the source is now a primary measurement rather than an unnamed reference, while the species flag FALLS to rat. Those are two separate axes and both moved honestly. KNOWN LIMITATION: the model is human. A rat autoregulatory breakpoint is being used in a human model because no human number exists. This is species extrapolation and is flagged as such. NO NUMERICAL EFFECT AT THE OPERATING POINT: IPE runs at MAP ~88-93 mmHg, inside [80, 160], where GFR ~ GFR0 either way. Verified: the ADR 0007 salt-step result is unchanged. The change buys honesty and removes an unevidenced kink, not different behaviour. WHAT IS STILL NOT SOURCED: the piecewise-flat-then-proportional FORM of the autoregulation equation, including its derivative discontinuity at both breakpoints. Only the breakpoint VALUE is sourced here. ledger/relations.csv row Renal.GFR therefore remains in the grandfathered unsourced list in tools/check_relations.py and its form_citation stays empty. LEDGER SCHEMA DEBT: validation/pooling.md specifies pooling_rule, n_studies and pooling_notes as columns of this CSV. Those columns do not exist yet, so the rule is recorded in prose here, following the precedent already set by RN.PRESSURE_NATRIURESIS.SLOPE. SCALING FROM RAT TO HUMAN: NO SCALING FACTOR IS APPLIED, AND THAT IS A DELIBERATE CLAIM, NOT AN OMISSION. This parameter is a PRESSURE (mmHg), an intensive variable, unlike the extensive quantities in this ledger (GFR, sodium excretion, blood volume) which would require allometric scaling by body or kidney mass. Mean arterial pressure in the conscious rat (~100-120 mmHg) and in the adult human (~93 mmHg here) are the same order of magnitude, and the autoregulatory plateau is generated by afferent-arteriolar myogenic tone and tubuloglomerular feedback, which are transmural-pressure-sensing mechanisms operating on the same pressure scale in both species rather than mass-dependent ones. Cupples and Braam 2007 report lower limits of ~75 mmHg (dog) and ~85 mmHg (rat) - a ~10 mmHg spread across a roughly 40-fold body-mass difference, which is the empirical evidence that this quantity does not scale with mass. The residual risk is therefore not a missing scale factor but genuine between-species difference in the breakpoint itself, of order 10 mmHg based on that spread, and it is unquantified in the upward direction because no species has been measured above 160 mmHg in this preparation. RE-FRAMED 2026-08-21 under the ADR 0006 amendment: an earlier version of this note treated 'not human' as a defect. It is not. What is genuinely unsourced here is the piecewise FORM of the autoregulation equation (see ledger/relations.csv row Renal.GFR) and the LOWER breakpoint - not this value's species."
RN.H2O.OBLIGATORY_LOSS,Obligatory urine volume at maximal concentration,V_min,L/day,0.5,none,,renal,B,Standard physiological reference. VERIFY.,,reported,human,both,sprint2,2026-08-08,Minimum urine volume needed to excrete the daily solute load at maximal urinary concentration. Sets a floor on water excretion.
CV.CO.NOMINAL,Cardiac output at rest,CO0,L/day,7200.0,sd,1150.0,cardiovascular,B,Standard physiological reference. VERIFY.,,derived,human,both,sprint2,2026-08-08,DERIVED from the conventional 5 L/min. 5 x 1440 = 7200 L/day. Units are per-day throughout the model.
CV.MAP.SETPOINT,Mean arterial pressure nominal,MAP0,mmHg,87.0,sd,8.0,cardiovascular,A,"Gomez-Sanchez M, Gomez-Sanchez L, Patino-Alonso C, Recio-Rodriguez JI, Alonso-Dominguez R, Sanchez-Aguadero N, Sanchez CL, Sanchez ER, Garcia-Ortiz L, Gomez-Marcos MA. Reference values of central blood pressure and central haemodynamic parameters and their relationship with cardiovascular risk factors in a Spanish population: early vascular ageing study. J Hypertens 2021;39(11):2147-2156.",,derived,human,both,sprint2,2026-08-27,"CHANGED 93.0 -> 87.0 ON 2026-08-27, AND THE OLD VALUE WAS A CATEGORY ERROR. 93 was the textbook BRACHIAL 120/80 convention - 80 + 40/3 = 93.33, matching to 0.3 mmHg - carried under the citation 'Standard physiological reference. VERIFY.' It was never verified, and this is that verification failing. NOW DERIVED from the sourced CENTRAL pressure: MAP = DBP + PP/3 = 76 + 33/3 = 87.0, on 501 adults without cardiovascular disease, age- and sex-stratified random sample. WHY CENTRAL RATHER THAN BRACHIAL. Chemla's SV/PP compliance relation is defined on aortic pressure, so the reconstruction needs a central reference. Mixing a brachial MAP with a central pulse pressure produced a form factor of 0.515 - IMPOSSIBLE, since the fraction of pulse pressure above mean must be below 0.5 when diastole is longer than systole. That contradiction is what exposed the mixing. TRUE MEAN PRESSURE IS NEARLY AMPLIFICATION-INVARIANT: pulse pressure amplifies distally, mean pressure barely does. So there is one MAP, not a central and a brachial one, and the fixed 1/3 form factor giving 87 centrally and 89.8 brachially is an artefact of the formula rather than physiology - which is exactly what reconstruct.jl says about treating the form factor as constant. STILL AN INITIALISATION VALUE AND A VALIDATION TARGET, NOT A SETPOINT THE MODEL ENFORCES. Arterial pressure remains an output of the loop."
CV.TPR.NOMINAL,Total peripheral resistance nominal,TPR0,mmHg/(L/day),0.012083,none,,cardiovascular,B,Derived from MAP and CO.,,derived,human,both,sprint2,2026-08-27,"RECOMPUTED 0.01292 -> 0.012083 on 2026-08-27 when CV.MAP.SETPOINT moved 93 -> 87. DERIVED: TPR = MAP/CO, definitional given the other two. Closure constraint. || PRECISION: rounded to 4 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || DERIVED: TPR = MAP/CO = 93/7200. Definitional given the other two. In this minimal model TPR is a constant - it becomes a state once baroreflex and RAAS exist."
CV.BLOOD_VOLUME.NOMINAL,Total blood volume nominal,BV0,L,5.0,sd,0.6,cardiovascular,B,Standard physiological reference. VERIFY.,,reported,human,both,sprint2,2026-08-08,Nominal 70 kg adult.
CV.HEMATOCRIT.NOMINAL,Hematocrit,Hct,unitless,0.45,sd,0.04,cardiovascular,B,Standard physiological reference. VERIFY.,,reported,human,both,sprint2,2026-08-08,Adult male nominal. Sex-dependent - female nominal is lower. Sex is deferred until the spine is validated.
CV.PLASMA.ECF_FRACTION,Plasma volume as fraction of extracellular fluid,f_pv,unitless,0.1889,none,,cardiovascular,B,Derived to close the loop at nominal.,,derived,human,both,sprint2,2026-08-08,"PRECISION: rounded to 4 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || DERIVED and NOT rounded: f_pv = BV0 x (1-Hct) / V_ecf = 5.0 x 0.55 / 14.56 = 0.188874. Rounding to 0.20 put blood volume 0.295 L above nominal, which through the venous return gain produced MAP = 104 rather than 93 mmHg. The conventional textbook figure is 0.25; the discrepancy comes from using the measured ECF fraction (20.8% of body mass) rather than the textbook 20%. This is a CLOSURE constraint - if Hct BF.ECF.MASS_FRACTION or CV.BLOOD_VOLUME.NOMINAL change this must be recomputed. Enforced by tools/check_closure.py."
CV.VENOUS_RETURN.SENSITIVITY,Cardiac output sensitivity to blood volume,G_vr,(L/day)/L,2880.0,none,,cardiovascular,B,"Guyton AC, Coleman TG, Granger HJ. Annu Rev Physiol 1972;34:13-46.",10.1146/annurev.ph.34.030172.000305,calibrated,human,both,sprint2,2026-08-08,"CALIBRATED, not measured. Originating model: Guyton 1972. The Frank-Starling and venous return relationships are E1; this linearised sensitivity around the operating point is a fitted constant. Second most consequential unmeasured number after the pressure natriuresis slope - together these two set the loop gain."
BF.OSM.NONSODIUM,Non-sodium contribution to plasma osmolality,Osm_other,mOsm/kg,7.0,none,,body-fluids,B,Derived from the standard osmolality estimate.,,derived,human,both,sprint3,2026-08-10,DERIVED as Osm_set - 2*C_Na = 287 - 280 = 7. Represents glucose potassium urea and other solutes in the conventional estimate Osm = 2[Na] + glucose/18 + BUN/2.8. Without this term the model started 7 mOsm hypertonic at nominal and drove osmotic flux from t=0. CLOSURE constraint - recompute if BF.NA.PLASMA_SETPOINT or BF.OSM.PLASMA_SETPOINT change. Enforced by tools/check_closure.py.
BR.OPEN_LOOP_GAIN,Sympathetic arterial baroreflex open-loop gain,G_br,unitless,2.0,range,1.0-3.5,neural,B,"Yamasaki F, Sato T, Sato K, Diedrich A. Analytic and integrative framework for understanding human sympathetic arterial baroreflex function. Front Neurosci 2021;15:707345.",10.3389/fnins.2021.707345,reported,various,both,sprint6,2026-08-19,"SPECIES: animal (dog, rabbit) - open-loop gain measured by perfusing vascularly isolated carotid sinus or aortic arch, reported between 1.0 and 3.5 across Kent 1972, Shoukas and Sagawa 1973, McRitchie 1976, Burattini 1994, Sato 1999, Sunagawa 2001. The source states explicitly that this invasive approach is not applicable to humans and that human open-loop gain has NOT been clarified. 2.0 is the mid-range. NO SCALING APPLIED - gain is dimensionless and the reflex architecture is conserved, but this is the weakest link in the component and must be flagged in any result."
BR.EFFECTOR.TAU,Sympathetic vasomotor effector time constant,tau_br,s,3.0,range,2.0-3.0,neural,A,"La Rovere MT, Pinna GD, Raczak G. Baroreflex sensitivity: measurement and clinical implications. Ann Noninvasive Electrocardiol 2008;13(2):191-207.",10.1111/j.1542-474X.2008.00219.x,reported,human,both,sprint6,2026-08-19,"Cardiac and vasomotor sympathetic activation occurs with a 2-3 second delay and reaches maximal effect more slowly. Parasympathetic activation is far faster (200-600 ms) but acts on heart rate, which is not a state in this cycle-averaged model (ADR 0002) - hence the lumped single-arm treatment. 3.0 s is the upper end of the stated range."
BR.RESET.TAU,Baroreflex setpoint resetting time constant,tau_reset,day,1.0,none,,neural,B,Dampney RAL. Resetting of the baroreflex control of sympathetic vasomotor activity during natural behaviors. Front Physiol 2017.,,assumed,human,both,sprint6,2026-08-19,"ASSUMED. Baroreflex resetting is well established qualitatively - the reflex re-centres on prevailing pressure over hours to days, which is WHY it cannot set long-run arterial pressure. A specific human time constant is not reported in the sources consulted. 1 day is an order-of-magnitude placeholder. CRITICAL: this parameter is what makes the baroreflex a fast buffer rather than a long-term regulator. If it were infinite the reflex would set long-run pressure and the Guyton claim in ADR 0007 would be false. Sensitivity to it must be tested."
BR.TPR.MAX_FRACTION,Maximum fractional change in TPR from baroreflex,br_sat,unitless,0.5,none,,neural,B,Saturation bound; see notes.,,assumed,human,both,sprint6,2026-08-19,"ASSUMED. The baroreflex characteristic is sigmoidal and saturates; an unbounded linear gain would let TPR go negative under large pressure excursions. 0.5 means TPR can move at most +/-50 percent from baseline by reflex action alone. Placeholder chosen to keep the model well-posed under hemorrhage-scale perturbations, not extracted from a reported response range."
CV.CENTRAL.FRACTION,Central (intrathoracic) blood volume as fraction of total,f_central,unitless,0.25,none,,cardiovascular,C,,,assumed,human,both,claude-session6,2026-08-24,"PLACEHOLDER, NOT SOURCED, AND INERT AT ADR 0012 STAGE 1. Do not quote this number anywhere. Stage 1 introduces the central/peripheral partition as a change of variables only: CV.CENTRAL.CO_SENSITIVITY and CV.CENTRAL.VOLUME_NOMINAL are both derived from this value so that it cancels out of the CO relation algebraically. VERIFIED 2026-08-24 by perturbation: setting f_central to 0.30 with both derived values recomputed moves the salt-step shift by 3.7e-10 relative, i.e. not at all physiologically. 0.25 IS NOT AN ARBITRARY READABLE VALUE - it is a power of two and therefore exact in binary, which is why it deviates from the pre-partition result by only 3.5e-13 where 0.30 deviates by 3.7e-10. A non-power-of-two placeholder is equally correct algebraically but noisier. IT MUST BE SOURCED UNDER A PRE-REGISTRATION BEFORE STAGE 2, when f_central becomes posture-dependent and stops cancelling. At that point this row is load-bearing and this note must be replaced, not amended."
CV.CENTRAL.VOLUME_NOMINAL,Central blood volume at the nominal operating point,VC0,L,1.25,none,,cardiovascular,C,Derived from CV.CENTRAL.FRACTION and CV.BLOOD_VOLUME.NOMINAL.,,derived,human,both,claude-session6,2026-08-24,DERIVED: VC0 = f_central x BV0 = 0.25 x 5. Closure constraint - if either factor changes this must be recomputed. Enforced by tools/check_closure.py.
CV.CENTRAL.CO_SENSITIVITY,Cardiac output sensitivity to central blood volume,G_vc,(L/day)/L,11520.0,none,,cardiovascular,C,Derived from CV.VENOUS_RETURN.SENSITIVITY and CV.CENTRAL.FRACTION.,,derived,human,both,claude-session6,2026-08-24,"DERIVED: G_vc = G_vr / f_central = 2880 / 0.25. This is what makes ADR 0012 stage 1 a change of variables rather than a change of behaviour - G_vc x (V_central - VC0) equals G_vr x (V_blood - BV0) identically. VERIFIED 2026-08-24 that breaking it is caught twice: a 10% error fails tools/check_closure.py outright and moves the salt-step MAP levels by 8e-5 relative, which the 1e-9 assertion in test/runtests.jl also catches. INHERITS EVERY WEAKNESS OF G_vr, which is CALIBRATED, not measured, and which ADR 0011 is in the process of replacing."
RAAS.RENIN.PRESSURE_THRESHOLD,Renal perfusion pressure above which renin release plateaus,P_thr,mmHg,93.0,sd,2.0,raas,A,"van Ochten M, El Fathi W, Bovee EME, Spaanderman MEA, Hooijmans CR, van Drongelen J. The renal baroreflex: a systematic review and meta-analysis in healthy and hypertensive animals. Physiol Rep 2025;13(17):e70547.",10.14814/phy2.70547,reported,"animal (mixed, meta-analysis of 30 studies)",both,claude-session6,2026-08-25,"THE COINCIDENCE IS BROKEN AS OF 2026-08-27, AND IT WAS THE FRAGILITY THIS ROW WARNED ABOUT. This threshold, 93 mmHg from van Ochten, used to equal CV.MAP.SETPOINT exactly, so the model sat ON the rectification point and RAAS was inactive at baseline BY CONSTRUCTION. The note said that rested on one unverified number. It did: the setpoint was the textbook brachial 120/80 convention and is now 87.0, derived from sourced central pressure. The model therefore sits 6 mmHg BELOW threshold and RAAS IS NOW ACTIVE AT REST - renin drive 0.069, plasma renin activity 2.31x baseline. That is more physiological, not less: resting renin is not zero. || Meta-analysis of 30 animal studies: renin falls linearly with rising renal pressure and plateaus above 93 +/- 2 mmHg. ADR 0006 E2 - servo-controlling renal perfusion pressure is not performable in humans, the same ethical ceiling as RN.PRESSURE_NATRIURESIS.SLOPE. QUALITY CAVEAT FROM THE PAPER ITSELF: risk of bias was high in most studies. FRAGILITY, RECORDED: this threshold equals CV.MAP.SETPOINT = 93.0, whose own citation reads 'Standard physiological reference. VERIFY.' The model therefore sits exactly ON the rectification threshold and RAAS is inactive at and above baseline BY CONSTRUCTION. That coincidence is doing structural work and rests on one unverified number. Verified against PubMed record PMID 40930784 on 2026-08-25. SCALING: none applied, and none is needed. The quantity is a PRESSURE THRESHOLD in mmHg, and arterial pressure is not body-size scaled across the mammals in this meta-analysis the way a flow or a volume would be - the threshold is reported in the same units the model uses. What is assumed instead is that the threshold TRANSFERS to humans unchanged, which is a species assumption rather than a scaling one, and it is the assumption to attack if this component misbehaves. Note the meta-analysis itself found the threshold comparable between healthy and hypertensive animals while the slope differed, which is weak evidence that the threshold is the more transferable of the two."
RAAS.ALDO.PRA_LOG_SLOPE,"Aldosterone response to renin activity, log-log slope",g_aldo,unitless,0.5372,none,,raas,A,"Walker WG, Moore MA, Horvath JS, Whelton PK. Arterial and venous angiotensin II in normal subjects. Circ Res 1976;38(6):477-483.",,derived,human,both,claude-session6,2026-08-25,"DERIVED: log(5)/log(20) = 0.5372, from a 5-fold aldosterone rise against a 20-fold PRA rise across sodium restriction plus furosemide versus sodium surfeit, 16 normal subjects. COMPRESSIVE - a power law with exponent below 1. THE EXPONENT IS AGAINST PRA, NOT ANGIOTENSIN II. The parked component docstring said 'aldosterone vs angiotensin'; Walker reports a 2.72-fold arterial AngII rise, so aldosterone against AngII is log-log 1.47 and EXPANSIVE. Attaching the PRA-derived exponent to an angiotensin variable would have been wrong, and the model state is named pra for that reason. Verified against PMID 773568 on 2026-08-25."
RAAS.ALDO.ESCAPE_TAU,Time constant of escape from mineralocorticoid sodium retention,tau_esc,day,1.669,none,,raas,A,"Kelly TM, Nelson DH. Sodium excretion and atrial natriuretic peptide levels during mineralocorticoid administration. Endocr Res 1987;13(4):363-383.",10.3109/07435808709035463,derived,human,both,claude-session6,2026-08-25,"DERIVED from the reported time course, not read off directly. Urinary sodium fell 27% immediately on fludrocortisone and returned to baseline levels in an average of 5 days, in four healthy males at 180 +/- 2 mEq/day. Modelling that as first-order recovery reaching 95% at 5 days gives tau = 5/ln(20) = 1.669 day. THE 95% CONVENTION IS A CHOICE and is recorded as one; 5/3 is within 0.1% of it. n=4, single study, so this is the weakest link in the escape path. Attribution was corrected once already, from 'Yokota N et al.' on 2026-08-21; re-verified against PMID 2966064 on 2026-08-25 and authors and every quoted number check out."
RAAS.PRA.TAU,Time constant of the renin response to a pressure step,tau_pra,day,0.0035,none,,raas,C,,,assumed,human,both,claude-session6,2026-08-25,"ASSUMED, and deliberately not cited. The parked component attributed renin kinetics to Hofbauer KG et al. Pflugers Arch 1975; that paper was NOT opened, so per directive 1.5 it is not recorded here. 0.0035 day is about 5 minutes. WHY THE VALUE BARELY MATTERS: it is three orders of magnitude faster than the escape time constant and four faster than the renal-body fluid loop, so on this timebase the renin step is effectively instantaneous and any value in the minutes range gives the same trajectory. If it is ever made to matter, source it first. ADR 0002 would also justify making pra algebraic and dropping the state entirely."
RAAS.RENIN.PRESSURE_GAIN,Fractional renin rise per fractional fall in perfusion pressure,g_renin,unitless,19.0,none,,raas,C,,,assumed,human,both,claude-session6,2026-08-25,"CALIBRATION TARGET VOIDED 2026-08-27. This gain was chosen so the LOW-SALT ARM of the salt step roughly doubled plasma renin activity from a baseline of 1.0. CV.MAP.SETPOINT then moved 93 -> 87, the model dropped below the rectification threshold, and baseline PRA is now 2.31 rather than 1.0 - so the target the gain was fitted to no longer exists. IT STILL CANNOT MOVE A STEADY STATE, because escape drives fr_mod to zero regardless (measured 7.7e-7 at baseline, and the loop closes at 1.0000). So this is not urgent. But it must be re-derived before this component is used for anything TRANSIENT, and the sensible target is now an absolute resting PRA rather than a fold-change from a baseline that was an artefact of the old operating point. || ASSUMED, not measured and NOT fitted to any published target. Recorded as assumed rather than calibrated because the target itself is an assumption: no source gives this quantity in a form the model can consume, so there was nothing to calibrate against. Chosen so the low-salt arm of the standard salt step roughly doubles plasma renin activity, the conventional magnitude for a 103 versus 205 mEq/day diet difference. van Ochten reports the renal baroreflex slope in animal units this model cannot consume directly, so the gain is fitted rather than converted. WHAT IT CANNOT DO: because escape drives fr_mod to zero at steady state, this parameter shapes the TRANSIENT only and cannot move any steady-state salt-step pressure. It is therefore far less consequential than CV.VENOUS_RETURN.SENSITIVITY or the natriuresis slope. Source it before using this component for anything transient."
RAAS.ALDO.REABSORPTION_GAIN,Additive fractional sodium reabsorption per unit aldosterone,k_aldo,unitless,0.011,none,,raas,C,,,assumed,human,both,claude-session6,2026-08-25,"ASSUMED, not measured and NOT fitted to any published target. Recorded as assumed rather than calibrated because the target itself is an assumption: no source gives this quantity in a form the model can consume, so there was nothing to calibrate against. Sized so the peak unescaped tubular effect is about half a percent of filtered load, the order of magnitude implied by the 27% acute fall in urinary sodium excretion reported by Kelly and Nelson. NOT derived from it - converting a urinary excretion change into a fractional reabsorption increment needs the filtered load at the time, which that paper does not report. Same standing as RAAS.RENIN.PRESSURE_GAIN: escape zeroes fr_mod at steady state so this shapes the transient only."
ADH.OSM.THRESHOLD,Osmotic threshold for vasopressin release,Osm_thr,mOsm/kg,284.0,range,280.0-288.0,adh,A,"Zerbe RL, Miller JZ, Robertson GL. The reproducibility and heritability of individual differences in osmoregulatory function in normal human subjects. J Lab Clin Med 1991;117(1):51-59.",,reported,human,both,claude-session6,2026-08-25,"Linear regression of plasma vasopressin on plasma osmolality during hypertonic saline infusion. Individual thresholds ranged 280 to 288 mOsm/kg and the frequency distribution across 80 healthy adults was essentially normal, so the MIDPOINT 284.0 is adopted and the range is carried as the uncertainty rather than an SD, which the paper does not give in a poolable form. Thresholds correlated within monozygotic but not dizygotic twins. NOTE the companion SENSITIVITY spans 0.12 to 1.66 pg/ml per mOsm/kg - fourteen-fold, and highly reproducible within a subject at r = 0.94 - which is NOT used here because this model carries no plasma vasopressin concentration. That spread is the obvious population covariate for src/ensemble.jl. Verified against PMID 1987308 on 2026-08-25."
ADH.URINE.OSM_MIN,Minimum urine osmolality at full water diuresis,U_min,mOsm/kg,50.0,none,,adh,C,,,assumed,human,both,claude-session6,2026-08-25,"ASSUMED and NOT SOURCED. A relationship-shaped search for maximal and minimal urinary concentrating ability in healthy humans returned lithium cohorts, hydration indices and clinical case series - none characterising the limit in a healthy population in a form this model can consume. 50 mOsm/kg is the conventional figure and it is recorded as an assumption rather than dressed in a textbook citation nobody opened. IT SETS THE MAXIMAL DIURESIS: with the assumed solute load it gives 12.0 L/day, which is plausible but unverified. Source this before using the component near the dilute end."
ADH.URINE.OSM_MAX,Maximum urine osmolality at maximal antidiuresis,U_max,mOsm/kg,1200.0,none,,adh,C,Derived from RN.URINE.SOLUTE_LOAD and RN.H2O.OBLIGATORY_LOSS.,,derived,human,both,claude-session6,2026-08-25,"DERIVED: U_max = solute load / obligatory minimum urine volume = 600 / 0.5 = 1200. At maximal antidiuresis the urine volume must equal the obligatory minimum already in the ledger, so this is forced rather than chosen. Closure constraint enforced by tools/check_closure.py. The resulting 1200 mOsm/kg is the conventional human maximum, which is a check on the assumed solute load rather than a coincidence - had the load been assumed at 850 this would have come out at 1700 and been out of range."
ADH.OSM.SENSITIVITY,Normalised antidiuretic activity per mOsm/kg above threshold,k_adh,1/(mOsm/kg),0.0878,none,,adh,C,Derived to close baseline water balance; see notes.,,derived,human,both,claude-session6,2026-08-25,"PRECISION: rounded to 3 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || DERIVED, not fitted and not assumed. Forced by requiring that at the plasma osmolality setpoint the model excretes exactly intake minus insensible loss, which is what the pre-ADH placeholder did. k_adh = ((solute/(intake-insensible)) - U_min) / ((U_max - U_min) * (Osm_set - Osm_thr)) = 0.08780904 per mOsm/kg, giving antidiuretic activity 0.263427 at baseline - a quarter of maximal, with room to move both ways. Closure constraint enforced by tools/check_closure.py. THIS IS NOT ZERBE'S SENSITIVITY: that is 0.12-1.66 pg/ml per mOsm/kg and this is a normalised 0-1 activity, because no sourced map from plasma vasopressin to urine osmolality was found."
ADH.URINE.OSM_BASELINE,Urine osmolality reproducing the pre-ADH placeholder,U_base,mOsm/kg,353.0,none,,adh,C,"Derived from RN.URINE.SOLUTE_LOAD, BF.H2O.INTAKE_NOMINAL and BF.H2O.INSENSIBLE_LOSS.",,derived,human,both,claude-session6,2026-08-25,"PRECISION: rounded to 3 significant figures on 2026-08-27. The sources do not support more, and carrying digits that do not exist forced the closure gate and the test suite to chase arithmetic noise. Derived rows inherit the significant figures of their inputs and are rounded to match; the closure tolerance was moved to 1e-3 in the same change, which is still an order of magnitude tighter than the 6% error that motivated that gate. || DERIVED: solute load / (intake - insensible loss) = 600 / 1.7 = 352.941176. Used ONLY by the disabled branch, where it holds urine osmolality at the value that reproduces the old placeholder water excretion exactly, so enabled=false recovers pre-ADH behaviour. Closure constraint enforced by tools/check_closure.py."
